Conc_Nr;Composer;WorkNr;Modern Ed;Concordances;Comment
ConcR1332;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) App #1;DaCremaVII_1548 / A3v - DaMilanoI_1563 / 38;
ConcR1333;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #46;DaCremaVII_1548 / A4r - NL-DHnmiA20 / 32r;
ConcR1334;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) App.#23 (Duet part 1);Matelart1559 / 11v - DaCremaI_1546 / B1r - DaCremaIII_1546 / 5v - DaCremaIII_1546 / 5v - DaCremaVII_1548 / C4v - Phalese1571 / 7r - NL-DHnmiA20 / 8r;
ConcR1335;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) App.#15;DaCremaVII_1548 / D1r;cf. ConcR3576
ConcR1336;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #24;NL-DHnmiA20 / 1r - DaMilano1536C / 62r - Gerle1552 / G4r - DaMilanoEtAl1563 / 41 - D-B40632 / 40v - Phalese1563 / 5v;
ConcR1337;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #53;NL-DHnmiA20 / 3r (2);See ConcR1338
ConcR1338;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) App. #7;DaCremaVII_1548 / C1r;See ConcR1337
ConcR1339;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #21;NL-DHnmiA20 / 3v - DaMilano1536C / 25r - PhaleseIIII_1546 / bb3v - Gerle1552 / F4v - DaMilanoEtAl1563 / 2 - Phalese1573 / bb3v;See ConcR1340
ConcR1340;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) App.#16;Besard1603 / 17v;See ConcR1339
ConcR1341;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #52;NL-DHnmiA20 / 4r (1);See ConcR1342
ConcR1342;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) App.#6;DaCremaVII_1548 / B4v;See ConcR1341 - ConcR1407
ConcR1343;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #47;NL-DHnmiA20 / 4r (2);See ConcR1344
ConcR1344;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) App.#5;DaCremaVII_1548 / A4v;See ConcR1343
ConcR1345;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #61;NL-DHnmiA20 / 21v (2) - DaMilanoBorrono1548 / 27r - Borrono1548 / 24r (F4r);
ConcR1346;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #56;NL-DHnmiA20 / 24v - DaMilanoBorrono1548 / 23r - Borrono1548 / 20v (E4v);See ConcR1347
ConcR1347;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) App-#8;GB-EuDc5125 / 22v;See ConcR1346
ConcR1348;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #55;NL-DHnmiA20 / 45v - DaMilanoBorrono1548 / 20v - Borrono1548 / 18r (E2r) - B-Br275 / 38v - I-CFVd / 47v;
ConcR1349;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #34;NL-DHnmiA20 / 59r - B-Br275 / 70r - GB-CuAdd10355 / 12 - I-CFVd / 46r - PL-Kj40032 / 220 - I-Coc1-1-20 / 55r - I-Uu_alb5-30 / 12v;
ConcR1350;;;;NL-DHnmiA20 / 5v (1) - F-Pn429 / 107v;
ConcR1351;Matelart;;The Lute Music of Francesco Canova da Milano (Arthur Ness) App.#23 (Duet part 2);D-Sl_G.I.4(2) / 31v - Matelart1559 / 12r;
ConcR1352;;;;NL-DHnmiA20 / 8r (2) - PL-Kj40032 / 256;
ConcR1353;;;;NL-DHnmiA20 / 16r (1) - PL-Kj40032 / 258;
ConcR1354;;;;NL-DHnmiA20 / 29r (1) - F-Pn429 / 105r - IRL-DmZ3213 / 49 - IRL-DmZ3213 / 230 - GB-LblAdd30513 / 10 (kb);cf. ConcR438
ConcR1355;;;;NL-DHnmiA20 / 41r (1) - D-HsM2768 / 44 - Phalese1571 / 10v;
ConcR1356;;;;NL-DHnmiA20 / 41r (2) - GB-CuAdd10355 / 17;
ConcR1357;;;;NL-DHnmiA20 / 55r - GB-EuDc5125 / 75v;
ConcR1358;J. Clément;;;D-B40632 / 4v - Cabeçon1570 / 70v - CH-BuF.IX.70 / 67 - Drusina1556 / 28 - Jobin1572 / D2r - NL-At.208.A.27 / 10v - NL-DHnmiA20 / 57r - HeckelDL1556 / 137 - Phalese1545 / 62 - PhaleseIII_1547 / A2r - Phalese1549 / E1v - Phalese1552 / 23 - Phalese1552 / 98 - Phalese1571 / 27v - Phalese1582 / 12v (citt) - Waissel1573 / D2r;
ConcR1359;;;;NL-DHnmiA20 / 61r - GB-CuAdd10355 / 23;
ConcR1360;;;;DaMilano1547 / A3v - DaMilanoDor1566 / C4r - I-FnXIX168 / 21v;
ConcR1361;;;;DaMilano1547 / D4r - DaMilanoDor1566 / D3r;
ConcR1362;;;;DaMilano1547 / D1v - DaMilanoDor1566 / D4r;
ConcR1363;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #122;DaMilano1547 / D3r - DaMilano1562 / D2r - DaMilanoIII_1563 / 28 - DaMilanoDor1566 / E1v;
ConcR1364;;;;DaMilano1547 / E1v - DaMilanoDor1566 / E3v - NewsidlerM1574 / H3v - Fuenllana1554 / 120v - DaCremaI_1546 / H4v - DaCremaIII_1546 / 32v - D-WGuelf18.7 / II.23v - GB-EuDc5125 / 3r (fragm);
ConcR1365;;;;DaMilano1547 / E3v - DaMilanoDor1566 / E4r - I-CFVd / 34v;
ConcR1366;;;;NL-DHnmiA20 / 70v (2) - F-Pn29 / 5r - I-PEas / 78;
ConcR1367;;;;NL-DHnmiA20 / 72r (1) - PL-Kj40032 / 130 - PL-Kj40143 / 37v - GB-CuAdd3056 / 32r;see ConcR616 (from bar 6)
ConcR1368;;;;NL-DHnmiA20 / 72r (2) - PL-Kj40032 / 75;
ConcR1369;;;;NL-DHnmiA20 / 72v (2) - PL-Kj40032 / 284 (2);
ConcR1370;Pietro Paolo Melii de Reggio;;;I-PEas / 70 (from bar 6) - Melii(V)1620 / 2 (Capriccio detto il gran Monarcha, from bar 55);
ConcR1371;;;;Besard1603 / 2v (start) - F-Pn941 / 10v (central part) - I-PEas / 81;
ConcR1372;;;;I-PEas / 90 - Kapsberger1611 / 10 (Toccata 5ta);
ConcR1373;;;;I-PEas / 94 - Kapsberger1611 / 13 (Toccata 7ma);
ConcR1374;;;;Rippe1555(5) / 13r - Rippe1562(3) / 2r - IRL-Dtc410-1 / 32 - D-Mbs266 / 135v - D-Mbs268 / 7v - Phalese1574 / 35r - S-Uu87 / 15r - S-Uu412 / 8v;cf. ConcR3402
ConcR1375;;;;CH-MschlegelRodau / 1 - D-B40264 / 27 - Witzendorff / N°14 (kb);
ConcR1376;;;;CH-MschlegelRodau / 3 - Witzendorff / N°32 (kb);
ConcR1377;;;;CH-MschlegelRodau / 10 - Witzendorff / N°16 (kb) - Witzendorff / N°17 (kb);
ConcR1378;;;;CH-MschlegelRodau / 11 (1) - D-LEm6-15 / 437 - D-LEm6-15 / 455 - D-LEm6-15 / 457 - GB-LblSloane1021 / 78v (3) - GB-LblSloane1021 / 82r (3) - D-Zweibrucken / N°125 (kb) - D-LEm6-17 / 28 (kb) - Drallius / N°5 (kb);
ConcR1379;;;;CH-MschlegelRodau / 15 - D-LEm6-15 / 317;
ConcR1380;;;;CH-MschlegelRodau / 16 - Witzendorff / N°20 (kb);
ConcR1381;;;;CH-MschlegelRodau / 32 - D-WGuelf18.8 / IV.28v - D-LEm6-15 / 388 - S-Skma1 / 51v (kb, Eysbock);
ConcR1382;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #63;DaMilanoBorrono1548 / 28r - DaMilanoEtAl1563 / 43 - Borrono1548 / 25r (G1r);
ConcR1383;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #64;DaMilanoBorrono1548 / 29v - DaMilanoEtAl1563 / 46 - Borrono1548 / 26v (G2v);
ConcR1384;;;;US-WsVa159 / 7v - CH-BuF.IX.70 / 145 - Balletti1554 / B4v - I-CFVd / 87v - I-CFVd / 99v - I-CFVd / 104v (1) - I-FnXIX168 / 18v - DaMilanoBorrono1546 / 17v - D-Mbs1511b / 23r - D-Mbs1511d / 16v - D-Mbs1512 / 16v - DK-KkThott841 / 114r (2) - NL-At.208.A.27 / 47r - Pacoloni1564 / I.7v - Pacoloni1564 / II.9v - Pacoloni1564 / III.3r - Rotta1546a / 16r - Rotta1546b / 20v - Drusina1556 / 80 - US-BEm758 / 3v (2) - US-BEm758 / 22v - Waissel1573 / L2v (2, N°36) - Waissel1592LB / E4v - Wyssenbach1550 / 23r - Caroso1581 / N°26 - D-Sl_G.I.4(1) / 10v - D-Sl_G.I.4(2) / 79v (1) - D-Sl_G.I.4(2) / 79v (2) - PL-KjW510 / 48v - PhaleseIIII_1546 / ii1r - Phalese1583 / N°21 (cons) - Estrées1559 / N°37 (cons) - LeRoy(I)1551 / 15v (gt) - GuiterneIMorlaye / 17v (gt) - Phalese1570_gt / 65r (gt);See Pass'e mezzo: ConcR210
ConcR1385;;;;B-Br275 / 28v (1) - B-Br275 / 60v (2) - I-Fgalileo6 / 252 (2) - PL-Kj40032 / 316 (1) - Zannetti1645 / ?;
ConcR1386;;;;DaMilanoBorrono1546 / 28r - PhaleseIIII_1546 / bb1v - Phalese1552 / 12 - Phalese1563 / 1v;
ConcR1387;;;;DaMilanoBorrono1546 / 33r - PhaleseI/II_1546 / bb4v;
ConcR1388;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #20;DaMilano1536C / 3r - Phalese1552 / 10 (2) - Phalese1563 / 3v - Phalese1568 / 8v - Phalese1571 / 6v;
ConcR1389;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #22;DaMilano1536C / 54r;
ConcR1390;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #23;DaMilano1536C / 55r - Gerle1552 / G2r - Rippe1553(4) / 5r (var.);cf. ConcR1391 (??)
ConcR1391;;;;Valderrabano1547 / 70r;cf. ConcR1390 (??)
ConcR1392;;;;DaMilano1536C / 17r - Abondante1546 / D3r - Abondante1563 / D3r;
ConcR1393;Alberto da Mantova;;;DaMilano1536C / 26v - DaMilanoEtAl1563 / 4 - Gerle1552 / K1r;
ConcR1394;Marco dall'Aquila;;;DaMilano1536C / 29r - DaMilanoEtAl1563 / 8 - Barberiis1549_10 / C3v - Gerle1552 / L4r;
ConcR1395;;;;DaMilano1536C / 31r - DaMilanoEtAl1563 / 11 - Phalese1563 / 2v - Gerle1552 / K3v - Phalese1552 / 6;
ConcR1396;;;;DaMilano1536C / 40v - DaMilanoEtAl1563 / 23 - Gerle1552 / S2r;
ConcR1397;;;;DaMilano1536C / 42v - DaMilanoEtAl1563 / 26 - Gerle1552 / S4r;
ConcR1398;;;;DaMilano1536C / 44v - DaMilanoEtAl1563 / 28 - Gerle1552 / T2v;
ConcR1399;;;;DaMilano1536C / 46v - DaMilanoEtAl1563 / 30 - Gerle1552 / T3r;
ConcR1400;;;;DaMilano1536C / 47r - DaMilanoEtAl1563 / 32 - DiBecchi1568 / 46 - D-MUwl439 / 54r - F-Pn429 / 132v - Gerle1552 / U1r - I-CFVd / 9v - Phalese1563 / 61v - Pacoloni1564 / I.22v - Pacoloni1564 / II.18v - Pacoloni1564 / III.10r - PL-WRk352 / 18r;
ConcR1401;Marco dall'Aquila;;;DaMilano1536C / 57r - DaMilanoEtAl1563 / 35 - D-Mbs266 / 25v - Gerle1552 / H3v - Phalese1552 / 8;
ConcR1402;Iacopo Albutio da Milano;;;DaMilano1536C / 59v - DaMilanoEtAl1563 / 38;
ConcR1403;Pietro Paolo Borrono;;;DaMilano1536C / 33r - DaMilanoEtAl1563 / 14 - D-Mbs266 / 106r - Gerle1552 / H2r - Phalese1552 / 18 - Phalese1568 / 2v - Phalese1571 / 1v;
ConcR1404;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #48;DaCremaVII_1548 / B1r;
ConcR1405;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #49;DaCremaVII_1548 / B1v;
ConcR1406;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #50;DaCremaVII_1548 / B2v;
ConcR1407;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #51;DaCremaVII_1548 / B3v;Cf. ConcR1342
ConcR1408;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #54;DaCremaVII_1548 / C1v;
ConcR1409;;;;B-Br275 / 3r - B-Br275 / 28v (2) - I-Fgalileo6 / 243 (2) - I-FnXIX30 / 29r - I-Nc7664 / 80r - I-SGc31 / 8r (1) - I-SGc31 / 20r - PL-Kj40032 / 314 (2);
ConcR1410;;;;Phalese1570 / 80r - RogerON(1)1701 / 5 (3);
ConcR1411;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #94;B-Br275 / 36v (2) - PL-Kj40591 / 61v - I-FnXIX168 / 7v - I-Ra1608 / 31v;cf. B-Br275 / 36v (1), PL-Kj40591 / 62r
ConcR1412;;;;B-Br275 / 52v (2) - D-Sl_G.I.4(3) / 38v (1) - Galilei1568 / 129 (1) - I-GuVII-1 / 25v;
ConcR1413;;;;B-Br275 / 29r - F-Pn941 / 17v (1) - I-Fgalileo6 / 245 (2) - I-Fgalileo6 / 246 (1) - PL-Kj40032 / 316 (2);
ConcR1414;;;;B-Br275 / 29r - B-Br275 / 89v - D-Dl1-V-8 / 53r - D-Sl_G.I.4(2) / 80r - F-Pn127 / 26v - I-Fgalileo6 / 243 (1) - I-Lg774 / 40r - I-Uu_alb5-38 / 7r - PL-Kj40032 / 309 (1) - Denss1594 / 73 - US-Rm186 / 14 (1) - US-Rm186 / 15;
ConcR1415;;;;B-Br275 / 30r - I-Fgalileo6 / 255 (1);
ConcR1416;;;;B-Br275 / 30v - I-Fgalileo6 / 244 (2) - PL-Kj40032 / 305 (1) - PL-Kj40032 / 305 (2);
ConcR1417;;;;B-Br275 / 31r (1) - B-Br275 / 31v (1) - D-Sl_G.I.4(1) / 32v (5) - I-FnXIX30 / 15v - I-Fgalileo6 / 250 (2) - I-Fgalileo6 / 253 (1) - I-SGc31 / 25v - PL-Kj40032 / 309 (2);cf. I-Lg774 / 28r
ConcR1418;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #93;B-Br275 / 35v;
ConcR1419;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #74;B-Br275 / 36r;
ConcR1420;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #75;B-Br275 / 37r;
ConcR1421;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #76;B-Br275 / 40r;
ConcR1422;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #77;B-Br275 / 41r;
ConcR1423;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #78;B-Br275 / 43r;
ConcR1424;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #79;B-Br275 / 44v;
ConcR1425;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #80;B-Br275 / 46v;
ConcR1426;;;;Barbetta1582 / 36v - Terzi1593 / 43 - NL-DHnmiA20 / 47v;
ConcR1427;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #87b;GB-EuDc5125 / 84v;
ConcR1428;;;;B-Br275 / 12r - I-Fgalileo6 / 255 (2);
ConcR1429;;;;B-Br275 / 62v (3) - PL-Kj40032 / 335 (1) - I-Fgalileo6 / 251 (2);
ConcR1430;;;;B-Br275 / 89r - I-Fgalileo6 / 247 (1) - PL-Kj40032 / 306 (2);See ConcR1431
ConcR1431;;;;B-Br275 / 51v;See ConcR1430
ConcR1432;;;;B-Br275 / 91r - CH-SO_DA111 / 45r (1) - I-Fgalileo6 / 244 (1) - PL-Kj40032 / 311;
ConcR1433;;;;A-KR81 / 140v - B-Br275 / 95v - PL-Kj40032 / 268 - I-FnXIX168 / 13v - I-MOeC311 / 31r;
ConcR1434;Melchior Newsidler;;;B-Br275 / 97v - CH-BuF.IX.70 / 53 - PL-Kj40598 / 31v - D-WGuelf18.7 / III.10v - D-LEm6-15 / III.10v - D-Mbs266 / 93v - NewsidlerM1574 / N2v - PL-Kj40598 / 31v;
ConcR1435;;;;I-GuVIII24 / 178v - Francisque1600 / 4r;
ConcR1436;;;;D-LEm11-26 / 1 - PL-Kj40143 / 28v;
ConcR1437;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #82;GB-CuDd211 / 16r (2);
ConcR1438;Alfonso Ferrabosco;FerraboscoOO96, ix, N°10;;GB-CuDd211 / 1v (1);ConcR216
ConcR1439;Alfonso Ferrabosco;FerraboscoOO96, ix, N°1;;GB-CuDd211 / 18v;
ConcR1440;Alfonso Ferrabosco;FerraboscoOO96, ix, N°13;;GB-CuDd211 / 22v;
ConcR1441;Alfonso Ferrabosco;FerraboscoOO96, ix, N°15;;GB-CuDd211 / 27v - GB-LblAdd31392 / 39v (band);
ConcR1442;Alfonso Ferrabosco;FerraboscoOO96, ix, N°9c;;GB-CuDd211 / 34v - GB-LblAdd31392 / 34v (band);cf. ConcR1443 - ConcR2664
ConcR1443;Alfonso Ferrabosco;FerraboscoOO96, ix, N°9a;;GB-CuDd211 / 77r (2);cf. ConcR1442 - ConcR2664
ConcR1444;Alfonso Ferrabosco;FerraboscoOO96, ix, N°17;;GB-CuDd211 / 85v;cf. ConcR2668
ConcR1445;;;;Barbetta1585 / 18 (2) - GB-LblR.App59-62 / 20 (El bufon);
ConcR1446;;;;D-Mbs1511b / 1r - D-Mbs1511b / 22v;
ConcR1447;;;;BianchiniD1546 / B4v - D-Mbs1511b / 9r - D-Mbs1511b / 21v - NewsidlerH1540 / F3v - PL-WRk352 / 67v - US-Rm398 / 29v - US-Rm398 / 30r - US-Rm398 / 30v;
ConcR1448;;;;Dalza1508 / 36 - D-Mbs1511b / 13v;
ConcR1449;;;;D-Mbs1511b / 16v - D-Mbs1511d / 14r (1) - D-Mbs266 / 37v (first part missing);
ConcR1450;;;;D-Mbs1511b / 18v - Gorzanis1563 / G1v - Gorzanis1561 / H2r - Pacoloni1564 / I.38v - Pacoloni1564 / II.30v - Pacoloni1564 / III.15r (2);
ConcR1451;;;;BianchiniD1546 / E1r (Torza) - D-Mbs1511b / 19v - D-Mbs1511d / 15v - D-Mbs1512 / N°18 - UA-LVu1400 / 31r - I-Nc7664 / 1v - I-Nc7664 / 47r - GB-LblRA59 / N°10;
ConcR1452;;;;D-Mbs1511b / 24r - Pacoloni1564 / I.40r - Pacoloni1564 / 32r - Pacoloni1564 / III.16r - US-BEm758 / 10r;
ConcR1453;;;;D-Mbs1511b / 20v - D-Mbs1511d / 15r - D-Mbs1512 / 70 - D-Mbs266 / 33r - D-Mbs266 / 33v - D-Mbs266 / 34r - D-Mbs272 / 54v - D-Mbs272 / 56v - Pacoloni1564 / I.41r - Pacoloni1564 / II.33r - Pacoloni1564 / III.16v - Phalese1545 / 77 - Phalese1549 / I3v - S-Uu412 / 32v - US-NHub13 / 19r - Abondante1546 / B2v - Abondante1563 / B2v - DaMilano1536C / 38r - DaMilanoEtAl1563 / 20 - Arbeau1589 / 52v - Waissel1592LB / E1v (1, N°23);
ConcR1454;;;;BianchiniD1546 / C2r - D-Mbs1511b / 3r (2) - D-Usch131b / 2v (1) - Pacoloni1564 / I.53v - Pacoloni1564 / II.46r - Pacoloni1564 / III.22v - F-LYm6244 / 7r - Phalese1568 / 59v (2) - Phalese1568 / 60r (2) - Phalese1571 / 97v (2) - Phalese1571 / 98r (2) - NL-At.208.A.27 / 49r (2) - Gerle1552 / N1v - US-BEm758 / 4v - US-BEm758 / 17v;
ConcR1455;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #85;D-Mbs266 / 22r (1) - D-Mbs266 / 29r (2);
ConcR1456;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #86;D-Mbs266 / 38r (2);
ConcR1457;;;;D-Mbs1511d / 1v - BianchiniD1546 / C3r - PhaleseV_1547 / E4v;
ConcR1458;;;;D-Mbs266 / 21r (2) - D-Mbs266 / 29r (1);
ConcR1459;Melchior Newsidler;;;NewsidlerM1566-2 / 27 - NewsidlerM1573 / E1r - Phalese1574 / 70v;
ConcR1460;;;;D-Mbs266 / 36v (2) - D-Mbs1511b / 3v (1) - Pacoloni1564 / I.37v - Pacoloni1564 / II.30r - Pacoloni1564 / III.15r (1);
ConcR1461;;;;D-Mbs266 / 136v (1) - D-Mbs266 / 236v (2) - D-Mbs1511b / 1v (1) - D-Mbs1512 / 58v - D-Mbs1512 / 65v;
ConcR1462;;;;Abondante1546 / D3v - Abondante1563 / D3v - A-Wn18821 / 23v - DaMilano1536C / 51v - D-Mbs266 / 36r - Pacoloni1564 / I.35v - Pacoloni1564 / II.28v - Pacoloni1564 / III.14v - F-LYm6244 / 10r - Gerle1552 / X1v;
ConcR1463;;;;Abondante1546 / D4v - Abondante1563 / D4v - CDN-Mc / 95v - Gorzanis1561 / H2v - I-CFVd / 86v - I-CFVd / 98v - I-CFVd / 103v (2) - Pacoloni1564 / I.17v - Pacoloni1564 / II.14v - Pacoloni1564 / III.7r (2) - D-Sl_G.I.4(2) / 80r (1);
ConcR1464;;;;D-Mbs266 / 52v - D-Mbs266 / 54v;
ConcR1465;;;;D-Mbs1511b / 21r - Pacoloni1564 / I.44v - Pacoloni1564 / II.36v - Pacoloni1564 / III.17v;
ConcR1466;;;;D-Mbs266 / 7v - D-Mbs266 / 104v - NewsidlerM1566-1 / 14 - NewsidlerM1573 / C3v - Phalese1568 / 43v - Phalese1571 / 42v - S-Uu87 / 34r - S-Uu412 / 9v (1) - S-Uu412 / 29v;
ConcR1467;;;;D-Mbs266 / 67r (1) - Rippe1544(4) / 8r - Rippe1562(1) / 22v;
ConcR1468;;;;Rippe1552(1) / 1r - Rippe1562(1) / 2r - D-Mbs266 / 68r - GB-EuDc5125 / 90v;
ConcR1469;;;;Rippe1562(1) / 17v - D-Mbs266 / 69v (1);
ConcR1470;;;;Rippe1562(1) / 14v - D-Mbs266 / 69v (2);
ConcR1471;;;;D-Mbs266 / 81v - D-Mbs266 / 82v;
ConcR1472;;;;D-Mbs267 / 31v - D-Mbs267 / 41r;
ConcR1473;;;;Barberiis1549_10 / A4v - D-Mbs266 / 45r - D-Mbs267 / 51v - Pifaro1546 / e3v;
ConcR1474;;;;D-Mbs268 / 6v - D-Mbs269 / 6v;
ConcR1475;;;;D-Mbs268 / 9v - D-Mbs269 / 12v;
ConcR1476;;;;D-Mbs268 / 2v - D-Mbs269 / 2v - D-Mbs271 / 11v;
ConcR1477;;;;Abondante1548 / 22 - D-Mbs268 / 8v - D-Mbs271 / 16v;
ConcR1478;;;;D-Mbs268 / 16v - D-Mbs271 / 15v (1);
ConcR1479;;;;D-Mbs268 / 17r - D-Mbs271 / 15v (2);
ConcR1480;Francesco da Milano;;The Lute Music of Francesco Canova da Milano (Arthur Ness) #92;DaMilano1536C / 24v;
ConcR1481;Albert de Rippe;;;IRL-DmZ3213 / 74 (2) - Rippe1552(1) / 26r - Rippe1562(2) / 2r - Phalese1574 / 19v;
ConcR1482;Albert de Rippe;;;IRL-DmZ3213 / 134 - Rippe1544(3) / 7v - Rippe1562(5) / 22r - Phalese1574 / 2r - DaMilano1536C / 5r - Gerle1552 / I3r;
ConcR1483;;;;Barbetta1582 / 21r - Terzi1599 / 30 - D-WGuelf18.7 / II.41r - D-Sl_G.I.4(2) / 32v - D-LEm6-15 / XI.28v (468) - A-LIa475 / 46v - Fallamero1584 / 15 - Rude1600 / A4v;
ConcR1484;;;;Barbetta1582 / 36r - D-Mbs1511d / 8r;
ConcR1485;;;;Balletti1554 / B2r - B-Br275 / 77v;
ConcR1486;;;;GB-Lam603 / 38r (5) - US-NHub7 / 81r (6) - Playford1666 / 19 (1, citt) - Playford1651 / 38 (v);
ConcR1487;;;;S-Sk253 / 111v - US-Rm186 / 1;
ConcR1488;;;;S-Sk253 / 112v (1) - Francisque1600 / 27v (2);
ConcR1489;;;;US-NHub7 / 84v (2, upside down) - US-NHub7 / 85r (1, upside down) - East / 275 - Ravenscroft / 262;
ConcR1490;;;;CZ-BsaG10-1400 / 12v - CZ-PnmXXIIIF174 / 16v (1) - PL-KjW510 / 9v;
ConcR1491;;;;US-NHub7 / 85r (3, upside down) - Ravenscroft / 266;
ConcR1492;;;;US-NHub7 / 85r (4, upside down) - Ravenscroft / 78;
ConcR1493;;;;US-NHub7 / 85r (5, upside down) - Ravenscroft / 84;
ConcR1494;;;;US-NHub7 / 85r (6, upside down) - Ravenscroft / 152;
ConcR1495;;;;US-NHub7 / 85r (7) - East / 48;See: GB-CuAdd2764-2 / 8v (3)
ConcR1496;;;;GB-CuAdd2764-2 / 8v (3) - Richard Allison 1599 / P4v (cons+v);See: US-NHub7 / 85r (7)
ConcR1497;;;;US-NHub7 / 85r (8, upside down) - Ravenscroft / 202;
ConcR1498;;;;US-NHub7 / 84v (1) - US-NHub7 / 84v (3) - East / 274;
ConcR1499;;;;US-NHub7 / 84v (4) - East / 218 - Ravenscroft / 206;
ConcR1500;;;;Caroso1581 / 113v - Caroso1600 / 198 - CZ-PnmXXIIIF174 / 45v (2);cf. Conc_4501
ConcR1501;;;;US-NHub7 / 84v (6) - GB-CuAdd2764-2 / 8v (2) - East / 252 - Richard Allison 1599 / P4v (cons+v);
ConcR1502;;;;US-NHub7 / 89r (2) - GB-Lam603 / 38r (4);
ConcR1503;;;;US-NHub7 / 89v (5) - Playford1666 / 20 (citt) - CH-Ch1236 / 18v (kb) - US-NYpl_Drexel5609 / 106 (kb) - US-NYpl_Drexel5609 / 153 (kb) - JP-NankiN-3.35 / 1v (kb) - F-Pn1186 / 18v (kb) - F-Pn1186 / 71v (kb) - Playford1652a / 14 (citt) - Playford1670 / 93 (v);
ConcR1504;;;;D-WGuelf18.7 / I.18v (1) - D-WGuelf18.7 / I.18v (2) - S-B172 / 17r - A-LIa475 / 87r (1) - LT-Vs285LXXIX / 72v - D-KA678 / 10r (2) - D-Kdma9825 / 1v - D-Kdma9825 / 15r - D-Ngm21977 / 4r (3) - CZ-PnmVC25 / N°1 - CZ-Pu59r469 / 40r (2, N°76) - NL-At208.A.27 / 5r - RUS-Königsberg Gen2.150 / N°25;
ConcR1505;;;;D-WGuelf18.7 / I.21r - CH-BuF.IX.70 / 321 (5);
ConcR1506;;;;D-WGuelf18.7 / I.21v (1) - D-Sl_G.I.4(2) / 26v (2) - Judenkunig / C1r;
ConcR1507;;;;D-WGuelf18.7 / I.27v - A-LIa475 / 89r (2) - A-Wn19259 / 11v;
ConcR1508;;;;D-WGuelf18.7 / I.29r - PL-KjW510 / 23r;
ConcR1509;;;;D-WGuelf18.7 / I.30v - CH-BuF.IX.70 / 322 (2) - D-Ngm21977 / 6v (1) - DK-KkThott841 / 145v (1) - PL-Kj40159 / 5v - D-LEm11-26 / 7 (2) - A-LIa475 / 90r (1) - D-Kdma9851 / 10v;
ConcR1510;;RISM A/I H 2336 / N°5;;D-WGuelf18.7 / I.35r - DK-KkThott841 / 146r (1) - A-LIa475 / 90r (3);
